[2025-03-25 14:09:38] User: ahad | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:09:40] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:09:45] User: ahad | Action: Downloaded | File: 4.txt | Protocol: TCP
[2025-03-25 14:11:24] User: ahad | Action: Disconnected | File:  | Protocol: TCP
[2025-03-25 14:12:01] User: ahad | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:12:02] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:18:06] User: asd | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:18:23] User: asd | Action: Disconnected | File:  | Protocol: TCP
[2025-03-25 14:21:13] User: ahad | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:21:14] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:21:23] User: ahad | Action: Downloaded | File: 1.txt | Protocol: TCP
[2025-03-25 14:21:48] User: ahad | Action: Disconnected | File:  | Protocol: TCP
[2025-03-25 14:21:52] User: asd | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:21:57] User: asd | Action: Uploaded | File: 3.txt | Protocol: TCP
[2025-03-25 14:23:18] User: asd | Action: Uploaded | File: 3.txt | Protocol: TCP
[2025-03-25 14:23:18] User: asd | Action: Disconnected | File:  | Protocol: TCP
[2025-03-25 14:23:24] User: ahad | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:23:25] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:23:44] User: ahad | Action: Uploaded | File: 3.txt | Protocol: TCP
[2025-03-25 14:23:44] User: ahad | Action: Disconnected | File:  | Protocol: TCP
[2025-03-25 14:27:54] User: ahad | Action: Connected | File:  | Protocol: TCP
[2025-03-25 14:27:55] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:57] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:57] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:58] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:58] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:58] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:59] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:27:59] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:28:00] User: ahad | Action: Listed files | File:  | Protocol: TCP
[2025-03-25 14:28:04] User: ahad | Action: Downloaded | File: 2.txt | Protocol: TCP
[2025-03-25 14:28:20] User: ahad | Action: Disconnected | File:  | Protocol: TCP
